Borough,Average Public Transport Accessibility score,Average Employee Income,Average Self-Employee Income,Area,Population,Density,Percentage of population 75+,Percentage of population 16-74,Percentage of population 16-,Crime Rate (per 1000),Employment Rate,Average Housing Price,Workday Population,Day Visitors
City of London,7.862302333101632,53200,64200,2.9,9401,3200,6.2,84.4,9.3,612.0,82.1,544682,426314,121719
Barking and Dagenham,2.970625856764648,23500,18100,36.09,212906,5900,7.3,69.3,23.4,99.5,65.8,473355,49485,13742
Barnet,2.9967009173143775,25600,15700,86.74,395869,4600,14.6,61.7,23.7,80.6,72.4,1129,142684,24909
Bexley,2.552133576475213,26800,16200,60.56,248287,4100,7.4,71.5,21.1,73.8,76.0,399475,68432,16744
Brent,3.6537128202440843,22800,16700,43.24,329771,7600,4.7,75.5,19.8,96.2,67.5,402550,110616,18963
Bromley,2.779858886632114,30300,16800,150.15,332336,2200,8.0,72.0,20.0,77.6,79.0,456681,107977,31448
Camden,5.690268566447012,32600,17300,21.8,270029,12000,5.0,78.4,16.6,142.7,70.2,382016,316246,61053
Croydon,3.2240803618998006,25900,16600,87.0,386710,4400,6.1,72.0,21.9,95.1,77.8,918858,120515,34409
Ealing,3.302496438347966,25400,15800,55.53,341806,6200,5.4,74.7,19.9,96.1,75.3,703385,134734,22309
Enfield,2.97148779846641,25100,15700,82.2,333794,4100,13.4,61.3,25.3,96.1,70.1,448806,109209,29841
Greenwich,3.4434088511348016,26300,17200,47.35,287942,6100,6.5,71.7,21.8,104.3,73.0,427900,79925,34610
Hackney,4.916681944525086,28000,15100,19.06,281120,15000,4.2,72.4,23.4,122.8,72.8,673362,111336,22373
Hammersmith and Fulham,4.669039272607919,30300,15900,16.4,185143,11000,5.0,78.5,16.5,126.2,76.2,422476,123565,28267
Haringey,4.308367796684827,25700,14800,29.59,268647,9100,4.3,75.1,20.6,122.2,74.7,561253,76885,15590
Harrow,2.8701959962968693,24500,17300,50.47,251160,5000,7.1,72.7,20.2,71.3,73.5,432341,75972,24888
Havering,2.5045691880487477,27600,17400,112.27,259552,2300,8.3,71.9,19.8,73.9,78.3,793432,76394,20601
Hillingdon,2.3630936504441853,25900,15400,115.7,306870,2700,6.5,72.3,21.2,93.3,74.2,385572,183105,30263
Hounslow,3.0305229261894113,24800,16500,55.98,271523,4900,5.0,74.0,21.0,102.8,71.5,545179,139895,18837
Islington,5.742924101345133,31400,15200,14.86,242467,16000,4.5,77.2,18.3,125.3,72.0,501788,191833,30590
Kensington and Chelsea,5.793069678144829,33700,17500,12.13,156129,13000,5.8,78.6,15.6,155.7,64.5,589904,118331,55939
Kingston upon Thames,2.928251306006945,30700,14400,37.25,177507,4800,7.0,74.1,18.9,74.5,71.6,547505,69258,16287
Lambeth,5.047105283323006,28700,14800,26.82,326034,12000,4.0,77.0,19.0,111.1,81.9,358959,152805,27521
Lewisham,4.08988660804234,26800,16900,35.15,305842,8700,5.3,73.6,21.1,99.8,77.4,504519,74908,21208
Merton,3.405588249693073,28600,16900,37.61,206548,5500,5.3,74.1,20.6,73.5,77.8,394879,82416,15228
Newham,3.90577618172765,24000,16500,36.22,353134,9700,4.0,69.8,26.2,105.1,68.7,696476,94023,31167
Redbridge,2.982147488653801,26800,16500,56.41,305222,5400,5.3,74.1,20.6,83.2,71.6,458056,75094,15849
Richmond upon Thames,3.057463697427554,31600,15400,57.41,198019,3400,7.2,74.0,18.8,67.7,78.9,812624,78907,19153
Southwark,4.874749532860033,28000,14500,28.85,318830,11000,4.8,74.9,20.3,121.7,74.6,502786,241999,34447
Sutton,2.8540856561323684,27000,15300,43.85,206349,4700,7.2,71.9,20.9,72.1,82.4,312288,65421,15340
Tower Hamlets,5.022219881375031,28800,15300,19.77,324745,16000,4.0,73.1,22.9,109.2,65.3,480235,233061,29262
Waltham Forest,3.5881420785336156,25300,17500,38.82,276983,7100,5.7,72.8,21.5,93.7,75.6,599308,71006,12400
Wandsworth,4.259022636601998,31900,15000,34.26,329677,9600,9.7,70.6,19.7,82.7,80.3,479010,112177,28394
Westminster,6.468799520276011,35400,15900,21.48,261317,12000,5.7,80.8,13.5,281.7,68.0,527883,607359,175942
