Borough,Restaurants,Shops,Attractions,Clubs,Leisure Venues,Pharmacies,Hotels,Cinemas/Theatres,Schools
Barking and Dagenham,17,8,6,0,16,6,1,0,62
Barnet,300,300,42,43,107,4,3,0,112
Bexley,14,1,12,0,18,7,14,1,81
Brent,1963,1495,329,485,503,11,50,4,84
Bromley,99,31,30,9,53,7,10,6,114
Camden,2598,2153,314,626,304,38,50,18,84
City of London,985,364,130,337,72,40,50,19,6
Westminster,4380,3541,611,959,389,34,50,25,54
Croydon,95,37,24,11,44,20,50,6,115
Ealing,224,193,25,25,66,17,42,5,83
Enfield,71,68,11,7,43,12,13,1,135
Greenwich,301,184,91,53,117,16,16,1,83
Hackney,854,517,184,322,121,21,32,4,71
Hammersmith and Fulham,1183,1021,97,253,195,17,50,10,48
Haringey,168,172,31,36,70,19,9,8,78
Harrow,80,32,9,2,18,20,38,9,65
Havering,11,4,2,0,10,10,30,6,53
Hillingdon,75,174,7,3,23,7,16,4,89
Hounslow,341,349,63,44,86,16,50,1,79
Islington,1170,643,172,364,155,17,50,4,56
Kensington and Chelsea,1955,1877,210,357,222,34,50,10,33
Kingston upon Thames,57,16,8,2,16,11,27,6,47
Lambeth,1203,589,261,313,175,16,32,4,81
Lewisham,222,165,60,43,92,13,20,1,84
Merton,152,128,22,31,59,7,8,0,67
Newham,121,89,49,21,48,3,31,0,83
Redbridge,58,15,12,2,20,16,50,2,75
Richmond upon Thames,269,132,65,31,83,14,20,1,51
Southwark,537,281,134,121,103,24,50,6,71
Sutton,14,6,22,0,12,6,19,4,59
Tower Hamlets,747,421,191,212,120,12,50,8,98
Waltham Forest,54,42,18,7,51,11,11,3,81
Wandsworth,820,613,66,182,154,13,33,7,134
